Candidate	Period_hr	Period_d
205899208	3.47338961823	0.144724567426
205910324	3.07488553315	0.128120230548
205934874	14.832650933	0.618027122207
205962262	20.3941194188	0.849754975785
205978103	7.71443506111	0.321434794213
205996447	19.2063081267	0.800262838611
206045146	5.59757014752	0.23323208948
206050740	4.7612972105	0.198387383771
206100943	19.2143363042	0.80059734601
206109113	15.8844157052	0.661850654384
206139574	16.1530491789	0.673043715787
206315178	7.62494707177	0.31770612799
206489474	18.2037960181	0.758491500753
